Date,Region,Department,Gross_Revenue,Logistics_Cost,Software_Licenses,Marketing_Spend,Office_Admin_Expenses,Total_OpEx,Net_Profit,Profit_Margin_Pct
2025-01-01,APAC,Logistics,17008.800486636243,508.25869874063125,0.0,0.0,242.69497110405968,750.9536698446909,16257.846816791553,95.58491105569314
2025-01-02,LATAM,Logistics,8002.253663672152,511.496048973838,0.0,0.0,241.40455556768978,752.9006045415279,7249.3530591306235,90.59139292272785
2025-01-03,North America,Logistics,7512.238733886046,828.6032136527867,0.0,0.0,764.4707123018648,1593.0739259546515,5919.1648079313945,78.79361955353406
2025-01-04,APAC,Admin,6568.5176050160035,0.0,0.0,0.0,504.15226277710076,504.15226277710076,6064.3653422389025,92.32471779641561
2025-01-05,APAC,IT Operations,14546.45374315455,0.0,695.2348349703734,0.0,445.64724309021096,1140.8820780605843,13405.571665093967,92.1569744887308
2025-01-06,LATAM,Admin,15597.135897303517,0.0,0.0,0.0,686.5271486047511,686.5271486047511,14910.608748698765,95.59837682299454
2025-01-07,North America,IT Operations,5473.79217238463,0.0,1062.2719687863546,0.0,701.4955567463096,1763.7675255326642,3710.0246468519663,67.77795959388266
2025-01-08,North America,Admin,19043.183693655345,0.0,0.0,0.0,399.3146198693628,399.3146198693628,18643.869073785983,97.90310997208728
2025-01-09,APAC,Admin,5779.569254772086,0.0,0.0,0.0,616.1708344842771,616.1708344842771,5163.398420287809,89.33881043166814
2025-01-10,Europe,Sales,13119.445029516057,0.0,0.0,1334.536636963829,662.6736895111319,1997.210326474961,11122.234703041097,84.77671637800496
2025-01-11,APAC,Admin,15635.907791763746,0.0,0.0,0.0,592.7904121195727,592.7904121195727,15043.117379644173,96.20878800249879
2025-01-12,APAC,R&D,18064.536856191284,0.0,0.0,0.0,290.95704488005964,290.95704488005964,17773.579811311225,98.38934677818581
2025-01-13,APAC,Sales,15711.303981986417,0.0,0.0,2547.585708136984,725.5298501102342,3273.1155582472184,12438.188423739199,79.16712984485588
2025-01-14,APAC,Admin,17025.921246046877,0.0,0.0,0.0,523.4567316416053,523.4567316416053,16502.46451440527,96.92553064191375
2025-01-15,LATAM,Logistics,10091.752888142091,555.0820437512317,0.0,0.0,369.4834558220022,924.5654995732339,9167.187388568858,90.83840528180583
2025-01-16,North America,R&D,17222.376706197683,0.0,0.0,0.0,455.1369112626163,455.1369112626163,16767.239794935067,97.35729325268545
2025-01-17,LATAM,R&D,6201.722695770127,0.0,0.0,0.0,222.54265423934442,222.54265423934442,5979.180041530783,96.41159940299929
2025-01-18,LATAM,R&D,18422.249840907913,0.0,0.0,0.0,276.7200807334505,276.7200807334505,18145.52976017446,98.49790289935719
2025-01-19,LATAM,Sales,13213.885642306044,0.0,0.0,1802.7780301839143,659.3280503095166,2462.106080493431,10751.779561812613,81.3672817584355
2025-01-20,APAC,Admin,17259.466549437406,0.0,0.0,0.0,200.0069808532197,200.0069808532197,17059.459568584185,98.84117518765527
2025-01-21,Europe,Admin,11784.774267774501,0.0,0.0,0.0,449.9394970893753,449.9394970893753,11334.834770685125,96.1820270217671
2025-01-22,North America,Logistics,14653.665427947875,662.038631196037,0.0,0.0,513.5061086513531,1175.5447398473902,13478.120688100485,91.97781097413785
2025-01-23,Europe,Logistics,12896.0399140417,1008.2909740081275,0.0,0.0,232.78065200058336,1241.0716260087108,11654.96828803299,90.37633541551477
2025-01-24,LATAM,R&D,15973.842826329977,0.0,0.0,0.0,783.8468977833998,783.8468977833998,15189.995928546577,95.09293470390625
2025-01-25,LATAM,Logistics,6224.449730458844,1703.8785193697192,0.0,0.0,335.67519874980314,2039.5537181195223,4184.896012339322,67.23318837102772
2025-01-26,Europe,Sales,5905.281259858457,0.0,0.0,3506.440677226583,382.51923178176855,3888.9599090083516,2016.3213508501053,34.144374537351574
2025-01-27,Europe,Admin,8706.548510152197,0.0,0.0,0.0,382.36550735301637,382.36550735301637,8324.18300279918,95.60829981126088
2025-01-28,Europe,R&D,7393.170201697825,0.0,0.0,0.0,338.24999727040995,338.24999727040995,7054.920204427415,95.42483145873292
2025-01-29,LATAM,Logistics,18076.753498883023,1358.0729650539513,0.0,0.0,200.88429325178686,1558.9572583057382,16517.796240577285,91.37590022233766
2025-01-30,LATAM,Sales,8288.209810370665,0.0,0.0,1044.0801659648616,637.6068764527978,1681.6870424176595,6606.522767953005,79.70988813153065
2025-01-31,North America,Sales,19637.97883728697,0.0,0.0,2137.2821460158084,780.1072998795712,2917.3894458953796,16720.58939139159,85.1441460953401
2025-02-01,North America,Logistics,10053.436876566602,1269.0015889346246,0.0,0.0,334.57608997102705,1603.5776789056517,8449.85919766095,84.04945792574271
2025-02-02,LATAM,Admin,7731.768735330489,0.0,0.0,0.0,597.8283150820535,597.8283150820535,7133.940420248436,92.26789709384006
2025-02-03,Europe,Logistics,16845.47760713719,940.2332348121824,0.0,0.0,645.1377961752291,1585.3710309874116,15260.106576149778,90.58874394682812
2025-02-04,Europe,R&D,14880.616632513142,0.0,0.0,0.0,709.0552274543148,709.0552274543148,14171.561405058826,95.23504136310402
2025-02-05,North America,Logistics,12472.935746797084,1897.6305791492246,0.0,0.0,453.5775182081655,2351.20809735739,10121.727649439694,81.1495212908384
2025-02-06,LATAM,Sales,13330.453264064468,0.0,0.0,2012.036640307278,381.75854338425756,2393.7951836915354,10936.658080372934,82.04265724298662
2025-02-07,North America,Logistics,15788.026674083958,1095.5225618557874,0.0,0.0,395.17708041381866,1490.699642269606,14297.327031814351,90.55803696660463
2025-02-08,North America,Admin,8426.821119969482,0.0,0.0,0.0,627.5727998591077,627.5727998591077,7799.248320110374,92.55267447920646
2025-02-09,APAC,IT Operations,19945.008740851128,0.0,1103.7811846758734,0.0,690.0676799033816,1793.848864579255,18151.15987627187,91.00602617984761
2025-02-10,APAC,Logistics,19621.897432201746,630.6391501936572,0.0,0.0,308.9683806539616,939.6075308476188,18682.28990135413,95.21143388862274
2025-02-11,APAC,Admin,14754.885295204052,0.0,0.0,0.0,422.5646048946591,422.5646048946591,14332.320690309394,97.13610376197225
2025-02-12,Europe,Admin,7993.1367639371765,0.0,0.0,0.0,741.1641180494901,741.1641180494901,7251.972645887687,90.72749359934116
2025-02-13,LATAM,Sales,15203.42363646937,0.0,0.0,1057.982892752803,684.0161118168435,1741.9990045696466,13461.424631899723,88.54206101058048
2025-02-14,LATAM,Admin,6082.976134687638,0.0,0.0,0.0,790.9150416574855,790.9150416574855,5292.061093030152,86.99789339715863
2025-02-15,LATAM,Admin,5459.787533087091,0.0,0.0,0.0,652.5489558092485,652.5489558092485,4807.2385772778425,88.04808883395721
2025-02-16,LATAM,Admin,8865.243327668206,0.0,0.0,0.0,435.9171206167533,435.9171206167533,8429.326207051452,95.08285216203522
2025-02-17,APAC,Admin,11939.344351089745,0.0,0.0,0.0,554.3827003967826,554.3827003967826,11384.961650692963,95.35667383321446
2025-02-18,Europe,R&D,18024.087581125706,0.0,0.0,0.0,596.6085525483923,596.6085525483923,17427.479028577312,96.68993756347952
2025-02-19,Europe,R&D,15907.53604649462,0.0,0.0,0.0,247.07348979027438,247.07348979027438,15660.462556704346,98.44681483626296
2025-02-20,APAC,Sales,16140.597817999716,0.0,0.0,1373.1051970015305,526.6981754623191,1899.8033724638497,14240.794445535867,88.22965918681635
2025-02-21,Europe,Logistics,11382.40001672113,1425.5997741767019,0.0,0.0,625.5924970835657,2051.1922712602677,9331.207745460862,81.97926387890956
2025-02-22,APAC,Admin,10189.024888204443,0.0,0.0,0.0,300.39278240063624,300.39278240063624,9888.632105803807,97.05180048437812
2025-02-23,LATAM,Logistics,10565.58144476904,670.7575902149022,0.0,0.0,668.3790304553343,1339.1366206702364,9226.444824098804,87.32548106632375
2025-02-24,APAC,Logistics,19814.743456040866,1017.8347142025382,0.0,0.0,550.263668308467,1568.0983825110052,18246.64507352986,92.08620396226759
2025-02-25,LATAM,Sales,5601.637871187238,0.0,0.0,2240.928024755906,771.3330714185568,3012.2610961744626,2589.376775012775,46.225351130453745
2025-02-26,LATAM,Admin,18005.472441836726,0.0,0.0,0.0,225.45337892413502,225.45337892413502,17780.01906291259,98.74786190891453
2025-02-27,North America,Admin,13680.131128585901,0.0,0.0,0.0,359.1956825332802,359.1956825332802,13320.935446052621,97.37432573447555
2025-02-28,APAC,IT Operations,11579.231287843857,0.0,356.2118342571643,0.0,560.9323275798945,917.1441618370588,10662.087126006798,92.07940372691323
2025-03-01,North America,Logistics,15878.864906227047,1261.1179080767133,0.0,0.0,377.9359473235584,1639.0538554002717,14239.811050826775,89.67776434222637
2025-03-02,APAC,Logistics,12300.034121370543,1811.3337870277637,0.0,0.0,628.6544984427453,2439.9882854705093,9860.045835900033,80.16275189650749
2025-03-03,APAC,R&D,18101.34857122491,0.0,0.0,0.0,655.4031695131587,655.4031695131587,17445.94540171175,96.37925778328454
2025-03-04,North America,IT Operations,18510.527960168878,0.0,1095.1182866874547,0.0,261.50957843988465,1356.6278651273392,17153.90009504154,92.6710471573445
2025-03-05,North America,R&D,11325.81390310183,0.0,0.0,0.0,508.31267852406063,508.31267852406063,10817.50122457777,95.51191037683529
2025-03-06,APAC,R&D,9152.416958525773,0.0,0.0,0.0,505.33433335463354,505.33433335463354,8647.08262517114,94.47867884904547
2025-03-07,Europe,R&D,13885.254928900433,0.0,0.0,0.0,421.56846212932464,421.56846212932464,13463.686466771109,96.9639126952442
2025-03-08,LATAM,Sales,18685.450184250367,0.0,0.0,2478.59375334234,759.7549175418033,3238.348670884143,15447.101513366224,82.66914289486218
2025-03-09,North America,Sales,8159.932835084999,0.0,0.0,2212.869241764607,696.5037919239328,2909.37303368854,5250.559801396459,64.34562523383522
2025-03-10,LATAM,R&D,14344.498753452242,0.0,0.0,0.0,618.325629145782,618.325629145782,13726.17312430646,95.68945809976823
2025-03-11,Europe,IT Operations,14473.403301387809,0.0,703.48714983248,0.0,628.5959814409985,1332.0831312734786,13141.32017011433,90.79633792042712
2025-03-12,Europe,Logistics,15996.695336229215,1240.3198705101781,0.0,0.0,477.02968628787147,1717.3495567980497,14279.345779431165,89.26434791248036
2025-03-13,Europe,IT Operations,6973.515276908897,0.0,759.389240103809,0.0,752.5967126579455,1511.9859527617546,5461.529324147143,78.31816676779458
2025-03-14,North America,Admin,15737.374470231329,0.0,0.0,0.0,616.7572563519713,616.7572563519713,15120.617213879357,96.08093931094653
2025-03-15,Europe,Sales,18635.487809984617,0.0,0.0,2592.8130352362814,637.3886369934899,3230.2016722297712,15405.286137754847,82.6663959367939
2025-03-16,North America,Logistics,7695.24663305363,1553.3881490474964,0.0,0.0,717.0145422724072,2270.4026913199036,5424.843941733727,70.49603736457553
2025-03-17,Europe,Logistics,8563.149873858165,1989.2252584986056,0.0,0.0,364.44295360531464,2353.6682121039203,6209.481661754245,72.51399021650587
2025-03-18,LATAM,Admin,19570.926410624594,0.0,0.0,0.0,684.2425423200218,684.2425423200218,18886.68386830457,96.5037805162429
2025-03-19,LATAM,Admin,7714.6542906423465,0.0,0.0,0.0,317.14436177389524,317.14436177389524,7397.509928868451,95.88906579833937
2025-03-20,APAC,R&D,17815.776400543687,0.0,0.0,0.0,407.20517134693273,407.20517134693273,17408.571229196754,97.71435629752007
2025-03-21,LATAM,Sales,12384.167846720522,0.0,0.0,2785.3950247170446,401.3662725619056,3186.76129727895,9197.406549441572,74.26745715399163
2025-03-22,APAC,Sales,8708.466116047655,0.0,0.0,1029.771463383507,787.1152810334844,1816.8867444169914,6891.579371630663,79.13654689350061
2025-03-23,LATAM,IT Operations,18061.24851908767,0.0,863.9332599838892,0.0,713.9223342487561,1577.8555942326452,16483.392924855023,91.26386200508165
2025-03-24,North America,R&D,11679.578825039982,0.0,0.0,0.0,620.7019169541559,620.7019169541559,11058.876908085826,94.68557962361257
2025-03-25,LATAM,R&D,12722.260308945353,0.0,0.0,0.0,636.2340569692341,636.2340569692341,12086.02625197612,94.99904858477169
2025-03-26,APAC,R&D,10388.500540996485,0.0,0.0,0.0,537.2436766415426,537.2436766415426,9851.256864354942,94.82847717510914
2025-03-27,APAC,R&D,13894.262771523912,0.0,0.0,0.0,768.2544002651115,768.2544002651115,13126.0083712588,94.47070770937455
2025-03-28,Europe,Sales,7452.8580887753415,0.0,0.0,2392.2854783605117,497.7552517294169,2890.0407300899287,4562.817358685413,61.22238347134794
2025-03-29,North America,Sales,10866.22304977641,0.0,0.0,3890.4977226627648,428.3106259219367,4318.808348584702,6547.414701191708,60.25474234422633
2025-03-30,LATAM,R&D,19541.184835029315,0.0,0.0,0.0,297.82120215895463,297.82120215895463,19243.36363287036,98.47593068346049
2025-03-31,Europe,IT Operations,8872.001490516914,0.0,1133.744346057078,0.0,671.7233913566348,1805.4677374137127,7066.533753103201,79.64982603594535
2025-04-01,LATAM,Logistics,14851.049968119383,697.2336798469724,0.0,0.0,640.6663592453549,1337.9000390923275,13513.149929027055,90.99120909319957
